file_name,publishable,features,evaluation_results
P110.pdf,No,"[0.5939366817474365, 1, 0.4848284125328064, 1, 0, 0, 0, 0, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5939366817474365}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4848284125328064}}"
P117.pdf,Yes,"[0.06341531872749329, 1, 0.06945985555648804, 1, 0.5999202728271484, 1, 0.7308381795883179, 1, 0.43471086025238037, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.06341531872749329}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.06945985555648804}, 'Results': {'summary': 'results in traditional tagging tasks but also', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5999202728271484}, 'Discussion': {'summary': 'Discussion. The use of linear transformation between visual and word vector spaces has been', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7308381795883179}, 'Conclusion': {'summary': 'conclusions beyond the experimental vocabulary S', 'factual_verification': 'Verified', 'coherence_with_overall': 0.43471086025238037}}"
P120.pdf,Yes,"[0.22403459250926971, 1, 0.13139104843139648, 1, 0.6322537064552307, 1, 0.5888431668281555, 1, 0.41125404834747314, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.22403459250926971}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.13139104843139648}, 'Results': {'summary': 'results of this experiment are presented in Table 1.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.6322537064552307}, 'Discussion': {'summary': 'discussions regarding the extent to which high accuracy in a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5888431668281555}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.41125404834747314}}"
P130.pdf,Yes,"[0.19534577429294586, 1, 0.26247239112854004, 1, 0.47746649384498596, 1, 1, 0.8136995434761047, 1, 0.4016099274158478, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.19534577429294586}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.26247239112854004}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.47746649384498596}, 'Results': {'summary': 'results were then analyzed using a combination of qualitative and quantitative', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8136995434761047}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4016099274158478}}"
P112.pdf,Yes,"[0.24444670975208282, 1, 0.3502901494503021, 1, 0.44778209924697876, 1, 1, 0.5251750349998474, 1, 0.3232164680957794, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.24444670975208282}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3502901494503021}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.44778209924697876}, 'Results': {'summary': 'Results and Analysis', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5251750349998474}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3232164680957794}}"
P124.pdf,Yes,"[-0.032658688724040985, 1, 0.0675225704908371, 1, 0.18492715060710907, 1, 6, 0.18141691386699677, 1, 0.92972731590271, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': -0.032658688724040985}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.0675225704908371}, 'Methodology': {'summary': 'methodology enables us to detect subtle', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18492715060710907}, 'Results': {'summary': 'results. Furthermore, the application of unorthodox', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18141691386699677}, 'Conclusion': {'summary': 'conclusion, the application of time-series analysis to predictive maintenance in smart grids is a', 'factual_verification': 'Verified', 'coherence_with_overall': 0.92972731590271}}"
P109.pdf,Yes,"[0.5198389887809753, 1, 0.5218760371208191, 1, 0.4671076536178589, 1, 1, 0.2738322913646698, 1, 0.48407837748527527, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5198389887809753}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5218760371208191}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4671076536178589}, 'Results': {'summary': 'results in numerous', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2738322913646698}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.48407837748527527}}"
P123.pdf,Yes,"[0.19019317626953125, 1, 0.1887403279542923, 1, 0.1972929686307907, 1, 3, 0.8619179725646973, 1, 0.3802654445171356, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.19019317626953125}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1887403279542923}, 'Methodology': {'summary': 'methodology requires no', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1972929686307907}, 'Results': {'summary': 'results on eight benchmark datasets focusing on sentiment, emotion, and', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8619179725646973}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3802654445171356}}"
P087.pdf,No,"[0.39126914739608765, 1, 0.4356212615966797, 1, 0.7114831209182739, 1, 0, 0, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.39126914739608765}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4356212615966797}, 'Results': {'summary': 'results in poorly-lit scenes (where there', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7114831209182739}}"
P126.pdf,Yes,"[0.035976581275463104, 1, 0.03249448910355568, 1, 0.16431279480457306, 1, 1, 0.16783013939857483, 1, 0.9589825868606567, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.035976581275463104}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.03249448910355568}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16431279480457306}, 'Results': {'summary': 'results even', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16783013939857483}, 'Conclusion': {'summary': 'conclusion, our experimental results strongly support the effectiveness and robustness of the pro-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9589825868606567}}"
P101.pdf,Yes,"[0.18357661366462708, 1, 0.11933311074972153, 1, 0.8955029845237732, 1, 6, 0.08569476008415222, 1, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.18357661366462708}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.11933311074972153}, 'Methodology': {'summary': 'methodology for identifying disease characteristics from', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8955029845237732}, 'Results': {'summary': 'results in', 'factual_verification': 'Verified', 'coherence_with_overall': 0.08569476008415222}}"
P085.pdf,Yes,"[0.12099340558052063, 1, 0.23930051922798157, 1, 0.07659194618463516, 1, 0.8866696357727051, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12099340558052063}, 'Introduction': {'summary': 'Introduction and Relation to Prior Research', 'factual_verification': 'Verified', 'coherence_with_overall': 0.23930051922798157}, 'Results': {'summary': 'results.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.07659194618463516}, 'Discussion': {'summary': 'discussion contributes to the development of SD privacy standards, encourages', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8866696357727051}}"
P116.pdf,Yes,"[0.24323657155036926, 1, 0.3379032611846924, 1, 0.3921249508857727, 1, 1, 0.5291314125061035, 1, 0.5514838695526123, 1, 0.3657807409763336, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.24323657155036926}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3379032611846924}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3921249508857727}, 'Results': {'summary': 'results indicated that the optimal choice of splitting', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5291314125061035}, 'Discussion': {'summary': 'discussion.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5514838695526123}, 'Conclusion': {'summary': 'conclusions about the', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3657807409763336}}"
P127.pdf,No,"[0.4741067886352539, 1, 0.4367522597312927, 1, 0.4380470812320709, 1, 0, 0, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4741067886352539}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4367522597312927}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4380470812320709}}"
P102.pdf,Yes,"[0.2295387238264084, 1, 0.31130319833755493, 1, 0.8057113885879517, 1, 0.2730861008167267, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2295387238264084}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.31130319833755493}, 'Results': {'summary': 'results can serve as baselines in any later research works. The settings', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8057113885879517}, 'Discussion': {'summary': 'discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2730861008167267}}"
P108.pdf,Yes,"[0.193055659532547, 1, 0.14375844597816467, 1, 0.7455081939697266, 1, 4, 0.5468108057975769, 1, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.193055659532547}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.14375844597816467}, 'Methodology': {'summary': 'methodology assess the cross-', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7455081939697266}, 'Results': {'summary': 'results are varied. An', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5468108057975769}}"
P135.pdf,Yes,"[0.3680838346481323, 1, 0.28124773502349854, 1, 0.21280041337013245, 1, 0.3288109004497528, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3680838346481323}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.28124773502349854}, 'Results': {'summary': 'results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.21280041337013245}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3288109004497528}}"
P105.pdf,Yes,"[0.1994112879037857, 1, 0.07892576605081558, 1, 0.16581428050994873, 1, 1, 0.5586076974868774, 1, 0.7020586133003235, 1, 0.09615886211395264, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1994112879037857}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.07892576605081558}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16581428050994873}, 'Results': {'summary': 'results, including the observation of previously unknown atomic phenomena.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5586076974868774}, 'Discussion': {'summary': 'discussion among scholars of floristry, who', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7020586133003235}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.09615886211395264}}"
P128.pdf,Yes,"[0.12012337893247604, 1, 0.1110304668545723, 1, 0.8590658903121948, 1, 0.10910461097955704, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.12012337893247604}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1110304668545723}, 'Results': {'summary': 'results on the four datasets.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8590658903121948}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.10910461097955704}}"
P113.pdf,Yes,"[0.3980693817138672, 1, 0.3141459822654724, 1, 0.2648506760597229, 1, 0.5269978046417236, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3980693817138672}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3141459822654724}, 'Results': {'summary': 'Results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2648506760597229}, 'Conclusion': {'summary': 'Conclusions', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5269978046417236}}"
P104.pdf,Yes,"[0.20172233879566193, 1, 0.3150164484977722, 1, 0.6228911876678467, 1, 6, 0.3800524175167084, 1, 0.4343146085739136, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.20172233879566193}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3150164484977722}, 'Methodology': {'summary': 'methodology is not specific to question-answering.', 'factual_verification': 'Verified', 'coherence_with_overall': 0.6228911876678467}, 'Results': {'summary': 'Results. Results are shown in Table 1. ConCoRD provides an absolute improvement of over', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3800524175167084}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4343146085739136}}"
P133.pdf,Yes,"[0.1614316999912262, 1, 0.17313790321350098, 1, 0.16656899452209473, 1, 0.8447970151901245, 1, 0.27438774704933167, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.1614316999912262}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.17313790321350098}, 'Results': {'summary': 'Results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.16656899452209473}, 'Discussion': {'summary': 'Discussion on other applications It is worth noting that while we focused on parsing as sequence', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8447970151901245}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.27438774704933167}}"
P107.pdf,Yes,"[0.01281752809882164, 1, 0.049454208463430405, 1, 0.031095385551452637, 1, 1, 0.4835941791534424, 1, 0.9697421789169312, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.01281752809882164}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.049454208463430405}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.031095385551452637}, 'Results': {'summary': 'results, particularly in forecasting phenomena that', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4835941791534424}, 'Conclusion': {'summary': 'conclusion, the field of neural approaches to real-time weather forecasting is characterized', 'factual_verification': 'Verified', 'coherence_with_overall': 0.9697421789169312}}"
P122.pdf,Yes,"[0.5724343061447144, 1, 0.5581825971603394, 1, 0.5188394784927368, 1, 1, 0.286155104637146, 1, 0.5603921413421631, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5724343061447144}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5581825971603394}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5188394784927368}, 'Results': {'summary': 'results in', 'factual_verification': 'Verified', 'coherence_with_overall': 0.286155104637146}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.5603921413421631}}"
P115.pdf,Yes,"[0.35296106338500977, 1, 0.4379732012748718, 1, 0.7543210983276367, 1, 11, 0.44879165291786194, 1, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.35296106338500977}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4379732012748718}, 'Methodology': {'summary': 'methodology typically involves employing an auto-regressive loss on the generated text', 'factual_verification': 'Verified', 'coherence_with_overall': 0.7543210983276367}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.44879165291786194}}"
P079.pdf,No,"[0.601199746131897, 1, 0.8511992692947388, 1, 0, 0, 0, 0, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.601199746131897}, 'Introduction': {'summary': 'Introduction and Motivation', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8511992692947388}}"
P093.pdf,Yes,"[0.45062410831451416, 1, 0.46807965636253357, 1, 0.48064297437667847, 1, 1, 0.2997405529022217, 1, 0.4869724214076996, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.45062410831451416}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.46807965636253357}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.48064297437667847}, 'Results': {'summary': 'Results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2997405529022217}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4869724214076996}}"
P089.pdf,Yes,"[0.4041958451271057, 1, 0.359147310256958, 1, 0.27666205167770386, 1, 0.24992547929286957, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.4041958451271057}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.359147310256958}, 'Results': {'summary': 'results:', 'factual_verification': 'Verified', 'coherence_with_overall': 0.27666205167770386}, 'Discussion': {'summary': 'Discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.24992547929286957}}"
P095.pdf,Yes,"[0.3680838346481323, 1, 0.28124773502349854, 1, 0.21280041337013245, 1, 0.3288109004497528, 1, 0, 0]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3680838346481323}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.28124773502349854}, 'Results': {'summary': 'Results', 'factual_verification': 'Verified', 'coherence_with_overall': 0.21280041337013245}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3288109004497528}}"
P098.pdf,Yes,"[0.14081496000289917, 1, 0.13145965337753296, 1, 0.3703969120979309, 1, 1, 0.8789042234420776, 1, 0.14852109551429749, 1, 0.2542572617530823, 1]","{'Abstract': {'summary': 'Abstract', 'factual_verification': 'Verified', 'coherence_with_overall': 0.14081496000289917}, 'Introduction': {'summary': 'Introduction', 'factual_verification': 'Verified', 'coherence_with_overall': 0.13145965337753296}, 'Methodology': {'summary': 'Methodology', 'factual_verification': 'Verified', 'coherence_with_overall': 0.3703969120979309}, 'Results': {'summary': 'results of the experiments were recorded and analyzed using a combination of quantitative and', 'factual_verification': 'Verified', 'coherence_with_overall': 0.8789042234420776}, 'Discussion': {'summary': 'discussion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.14852109551429749}, 'Conclusion': {'summary': 'Conclusion', 'factual_verification': 'Verified', 'coherence_with_overall': 0.2542572617530823}}"
