file_name,publishable,reason,section_similarities,scientific_scores
P089.pdf,Yes,Total Score: 0.763 (Section Coherence: 0.477; Scientific Rigor: 0.286),{'introduction': 0.9545655},"{'abstract': 0.5690503716468811, 'introduction': 0.5737250021525792}"
P095.pdf,No,Total Score: 0.641 (Methodology: 0.211; Section Coherence: 0.269; Scientific Rigor: 0.161),"{'abstract': 0.83990407, 'introduction': 0.8929977, 'methodology': 0.96116877}","{'abstract': 0.5109068353970846, 'introduction': 0.5680757910013199, 'methodology': 0.5265322923660278}"
P098.pdf,Yes,Total Score: 0.667 (Methodology: 0.248; Section Coherence: 0.246; Scientific Rigor: 0.173),"{'abstract': 0.73716855, 'introduction': 0.90244955, 'methodology': 0.7843921, 'results': 0.8583542}","{'abstract': 0.5296809871991476, 'introduction': 0.5773703881672451, 'methodology': 0.6199063181877136, 'results': 0.5826815813779831}"
P100.pdf,No,Total Score: 0.647 (Methodology: 0.220; Section Coherence: 0.257; Scientific Rigor: 0.170),"{'abstract': 0.7311237, 'introduction': 0.9031484, 'methodology': 0.92713654, 'results': 0.86160165}","{'abstract': 0.5515583554903666, 'introduction': 0.5625227964841403, 'methodology': 0.5506969718706041, 'results': 0.6016449481248856}"
P084.pdf,Yes,Total Score: 0.658 (Methodology: 0.232; Section Coherence: 0.240; Scientific Rigor: 0.186),"{'abstract': 0.75685716, 'introduction': 0.8905779, 'methodology': 0.7486007}","{'abstract': 0.7229605615139008, 'introduction': 0.5607245326042175, 'methodology': 0.5808623731136322}"
P091.pdf,Yes,Total Score: 0.701 (Section Coherence: 0.432; Scientific Rigor: 0.269),"{'abstract': 0.7785549, 'introduction': 0.8729253, 'results': 0.94041586}","{'abstract': 0.5088678598403931, 'introduction': 0.5473672032356263, 'results': 0.5430593490600586, 'conclusion': 0.551604837179184}"
P083.pdf,Yes,Total Score: 0.696 (Section Coherence: 0.437; Scientific Rigor: 0.259),{'introduction': 0.87487787},"{'abstract': 0.5002638697624207, 'introduction': 0.535891572634379}"
P096.pdf,Yes,Total Score: 0.674 (Methodology: 0.245; Section Coherence: 0.260; Scientific Rigor: 0.169),"{'abstract': 0.6520549, 'introduction': 0.9224162, 'methodology': 0.9556249, 'results': 0.93671286}","{'abstract': 0.5740565359592438, 'introduction': 0.5201462586720784, 'methodology': 0.6136074379870766, 'results': 0.5455505602500018}"
P082.pdf,No,Total Score: 0.642 (Section Coherence: 0.370; Scientific Rigor: 0.272),"{'abstract': 0.852438, 'introduction': 0.6277102}","{'abstract': 0.5228249132633209, 'introduction': 0.565162718296051}"
P103.pdf,No,Total Score: 0.626 (Section Coherence: 0.342; Scientific Rigor: 0.284),"{'introduction': 0.65008366, 'conclusion': 0.7163738}","{'abstract': 0.5793246626853943, 'introduction': 0.5499204993247986, 'conclusion': 0.5762811899185181}"
P090.pdf,Yes,Total Score: 0.668 (Methodology: 0.234; Section Coherence: 0.256; Scientific Rigor: 0.179),"{'abstract': 0.72957015, 'introduction': 0.84650344, 'methodology': 0.90482503, 'results': 0.92614794}","{'abstract': 0.6414275467395782, 'introduction': 0.5138300486973354, 'methodology': 0.5853313058614731, 'results': 0.6399692722729274}"
P088.pdf,Yes,Total Score: 0.723 (Section Coherence: 0.445; Scientific Rigor: 0.278),"{'abstract': 0.90063316, 'introduction': 0.8808192}","{'abstract': 0.5457780758539835, 'introduction': 0.5646730899810791}"
P092.pdf,No,Total Score: 0.648 (Section Coherence: 0.336; Scientific Rigor: 0.311),"{'abstract': 0.58821535, 'introduction': 0.7575077}","{'abstract': 0.5908806920051575, 'introduction': 0.654138696193695}"
P097.pdf,Yes,Total Score: 0.657 (Methodology: 0.229; Section Coherence: 0.247; Scientific Rigor: 0.182),"{'abstract': 0.76510274, 'introduction': 0.84714544, 'methodology': 0.9471532, 'results': 0.731338}","{'abstract': 0.6532254219055176, 'introduction': 0.6311942892415183, 'methodology': 0.5714752305121649, 'results': 0.5642607112725576}"
P099.pdf,Yes,Total Score: 0.703 (Section Coherence: 0.395; Scientific Rigor: 0.308),"{'abstract': 0.84045565, 'introduction': 0.7379135}","{'abstract': 0.5640890598297119, 'introduction': 0.6688362061977386}"
P094.pdf,Yes,Total Score: 0.653 (Methodology: 0.223; Section Coherence: 0.258; Scientific Rigor: 0.173),"{'abstract': 0.6980395, 'introduction': 0.91662073, 'methodology': 0.9153664, 'results': 0.9124883}","{'abstract': 0.6548608839511871, 'introduction': 0.5289106879915509, 'methodology': 0.5566676944494248, 'results': 0.560398174656762}"
P086.pdf,No,Total Score: 0.639 (Methodology: 0.209; Section Coherence: 0.259; Scientific Rigor: 0.171),"{'abstract': 0.8171225, 'introduction': 0.90644, 'methodology': 0.79056984, 'results': 0.93274117}","{'abstract': 0.6491433382034302, 'introduction': 0.5814533273379008, 'methodology': 0.5219225982824961, 'results': 0.5313506921132406}"
