file_name,publishable,reason,section_similarities,scientific_scores
P117.pdf,Yes,Total Score: 0.705 (Section Coherence: 0.414; Scientific Rigor: 0.290),"{'abstract': 0.7902458, 'introduction': 0.8878666, 'results': 0.80826336}","{'abstract': 0.6561955213546753, 'introduction': 0.5406734272837639, 'results': 0.5451546311378479}"
P120.pdf,Yes,Total Score: 0.703 (Section Coherence: 0.390; Scientific Rigor: 0.313),"{'abstract': 0.7216106, 'introduction': 0.8387767}","{'abstract': 0.7002502083778381, 'introduction': 0.5518911331892014}"
P130.pdf,No,Total Score: 0.628 (Methodology: 0.218; Section Coherence: 0.244; Scientific Rigor: 0.165),"{'abstract': 0.7675918, 'introduction': 0.78446025, 'methodology': 0.8770382, 'results': 0.826244}","{'abstract': 0.571243941783905, 'introduction': 0.5640845199426016, 'methodology': 0.5454797893762589, 'results': 0.5218044966459274}"
P112.pdf,Yes,Total Score: 0.677 (Methodology: 0.249; Section Coherence: 0.244; Scientific Rigor: 0.184),"{'abstract': 0.70471627, 'methodology': 0.85922146, 'results': 0.87239516}","{'abstract': 0.672560840845108, 'introduction': 0.5516300201416016, 'methodology': 0.6234156688054403, 'results': 0.6022441506385803}"
P124.pdf,Yes,Total Score: 0.667 (Methodology: 0.233; Section Coherence: 0.258; Scientific Rigor: 0.175),"{'abstract': 0.920653, 'introduction': 0.9177149, 'methodology': 0.8176211, 'results': 0.78997105}","{'abstract': 0.5974241296450297, 'introduction': 0.6183200261809609, 'methodology': 0.5836494192481041, 'results': 0.5401139557361603}"
P109.pdf,Yes,Total Score: 0.679 (Methodology: 0.277; Section Coherence: 0.218; Scientific Rigor: 0.185),"{'abstract': 0.5924851, 'introduction': 0.8472067, 'methodology': 0.7530898, 'results': 0.71009326}","{'abstract': 0.5806186199188232, 'introduction': 0.606428039073944, 'methodology': 0.6914454102516174, 'results': 0.588147779305776}"
P123.pdf,Yes,Total Score: 0.668 (Methodology: 0.221; Section Coherence: 0.267; Scientific Rigor: 0.181),"{'abstract': 0.83056766, 'introduction': 0.92578995, 'methodology': 0.9100309}","{'abstract': 0.5969402194023132, 'introduction': 0.6604076524575552, 'methodology': 0.5519876067454998}"
P126.pdf,Yes,Total Score: 0.657 (Methodology: 0.226; Section Coherence: 0.261; Scientific Rigor: 0.171),"{'abstract': 0.76287746, 'introduction': 0.9039757, 'methodology': 0.916167, 'results': 0.8957662}","{'abstract': 0.5903538465499878, 'introduction': 0.5475581511855125, 'methodology': 0.5640360300357525, 'results': 0.5728029370307922}"
P116.pdf,Yes,Total Score: 0.707 (Section Coherence: 0.412; Scientific Rigor: 0.294),"{'abstract': 0.5949836, 'introduction': 0.8834467, 'results': 0.9363116, 'conclusion': 0.8827591}","{'abstract': 0.6673671007156372, 'introduction': 0.5362933203577995, 'results': 0.597802384333177, 'conclusion': 0.5536189211739434}"
P127.pdf,Yes,Total Score: 0.685 (Section Coherence: 0.395; Scientific Rigor: 0.291),"{'abstract': 0.7628124, 'introduction': 0.8152815}","{'abstract': 0.6301248073577881, 'introduction': 0.5331695874532064}"
P135.pdf,Yes,Total Score: 0.712 (Section Coherence: 0.415; Scientific Rigor: 0.297),"{'abstract': 0.79758537, 'introduction': 0.8621187}","{'abstract': 0.6136789917945862, 'introduction': 0.576100118458271}"
P128.pdf,Yes,Total Score: 0.719 (Section Coherence: 0.455; Scientific Rigor: 0.264),{'introduction': 0.9106872},"{'abstract': 0.5176807045936584, 'introduction': 0.5383326836994716}"
P113.pdf,Yes,Total Score: 0.719 (Section Coherence: 0.429; Scientific Rigor: 0.291),"{'abstract': 0.9473942, 'introduction': 0.7673349}","{'abstract': 0.5734079480171204, 'introduction': 0.5889005661010742}"
P133.pdf,Yes,Total Score: 0.685 (Section Coherence: 0.403; Scientific Rigor: 0.281),"{'introduction': 0.75257623, 'results': 0.8606078}","{'abstract': 0.5477748513221741, 'introduction': 0.5675045996904373, 'results': 0.5729341762406486}"
P122.pdf,No,Total Score: 0.621 (Methodology: 0.219; Section Coherence: 0.234; Scientific Rigor: 0.168),"{'abstract': 0.5970039, 'introduction': 0.9005134, 'methodology': 0.8450235, 'results': 0.78144217}","{'abstract': 0.5523694157600403, 'introduction': 0.5732277716909137, 'methodology': 0.5466401917593819, 'results': 0.5639815330505371}"
P115.pdf,Yes,Total Score: 0.655 (Section Coherence: 0.383; Scientific Rigor: 0.272),{'abstract': 0.76583076},"{'abstract': 0.57635098695755, 'introduction': 0.5118703842163086}"
P131.pdf,No,Total Score: 0.364 (Section Coherence: 0.000; Scientific Rigor: 0.364),{},{'abstract': 0.7278622388839722}
